"","YEAR","NUMB_VEHC","CITY","AGE_DRVR_YNGST","AGE_DRVR_OLDEST","SPEED_LIMIT"
"229",2013,2,"Boston","25-34","55-64",35
"230",2013,1,"Boston","25-34","25-34",30
"231",2013,2,"Boston","35-44","35-44",NA
"232",2013,1,"Boston","65-74","65-74",55
"233",2013,2,"Boston","21-24","25-34",55
"234",2013,2,"Boston","35-44","35-44",55
"235",2013,2,"Boston","45-54","45-54",30
"236",2013,1,"Boston","35-44","35-44",55
"237",2013,2,"Boston","25-34","55-64",35
"238",2013,4,"Boston","25-34","65-74",45
"239",2013,2,"Boston","25-34","45-54",35
"240",2013,2,"Boston","25-34","55-64",55
"241",2013,2,"Boston","25-34","45-54",35
"242",2013,2,"Boston","55-64","55-64",55
"243",2013,3,"Boston","45-54","45-54",55
"244",2013,2,"Boston","35-44","35-44",30
"245",2013,2,"Boston","25-34","25-34",40
"246",2013,2,"Boston","45-54","55-64",30
"247",2013,1,"Boston",NA,NA,NA
"248",2013,4,"Boston","21-24","55-64",55
"249",2013,1,"Boston","35-44","35-44",25
"250",2013,4,"Boston","25-34","35-44",55
"251",2013,3,"Boston","25-34","45-54",30
"252",2013,2,"Boston","45-54","65-74",35
"253",2013,3,"Boston","21-24","45-54",35
"254",2013,2,"Boston","21-24","45-54",45
"255",2013,3,"Boston","21-24","25-34",40
"256",2013,2,"Boston","21-24","25-34",35
"257",2013,2,"Boston","25-34","35-44",45
"258",2013,1,"Boston","21-24","21-24",30
"259",2013,2,"Boston","25-34","45-54",30
"260",2013,3,"Boston","25-34","55-64",55
"261",2013,2,"Boston","25-34","55-64",30
"262",2013,2,"Boston","21-24","75-84",35
"263",2013,2,"Boston","35-44","45-54",35
"264",2013,1,"Boston",NA,NA,30
"265",2013,1,"Boston","45-54","45-54",30
"266",2013,2,"Boston","25-34","45-54",30
"267",2013,2,"Boston","25-34","45-54",35
"268",2013,3,"Boston","16-17","45-54",35
"269",2013,3,"Boston","45-54","65-74",35
"270",2013,3,"Boston","21-24","25-34",25
"271",2013,3,"Boston","25-34","35-44",55
"272",2013,2,"Boston","25-34","35-44",NA
"273",2013,2,"Boston","45-54","45-54",NA
"274",2013,1,"Boston","25-34","25-34",30
"275",2013,1,"Boston","18-20","18-20",25
"276",2013,2,"Boston","25-34","25-34",30
"277",2013,2,"Boston","18-20","18-20",40
"278",2013,1,"Boston","25-34","25-34",30
"279",2013,2,"Boston","21-24","21-24",55
"280",2013,2,"Boston","21-24","35-44",30
"281",2013,2,"Boston","35-44","55-64",30
"282",2013,2,"Boston","25-34","35-44",50
"283",2013,2,"Boston",NA,NA,30
"284",2013,2,"Boston","25-34","35-44",NA
"285",2013,3,"Boston","21-24","45-54",55
"286",2013,3,"Boston","18-20","35-44",45
"287",2013,2,"Boston","21-24","45-54",NA
"288",2013,2,"Boston","25-34","35-44",55
"289",2013,2,"Boston","18-20","35-44",NA
"290",2013,2,"Boston","35-44","55-64",NA
"291",2013,2,"Boston","25-34","55-64",55
"292",2013,1,"Boston","25-34","25-34",45
"293",2013,2,"Boston","25-34","55-64",55
"294",2013,1,"Boston","21-24","21-24",35
"295",2013,2,"Boston","25-34","35-44",45
"296",2013,2,"Boston","25-34","45-54",45
"297",2013,2,"Boston","25-34","25-34",35
"298",2013,1,"Boston","21-24","21-24",25
"299",2013,2,"Boston","25-34","65-74",35
"300",2013,1,"Boston","45-54","45-54",25
"301",2013,4,"Boston","21-24","25-34",NA
"302",2013,2,"Boston","25-34","25-34",NA
