title,gross,total_gross,distributor,release_date_JP,release_year_JP,title_short,re_released,id,genres,original_language,overview,popularity,production_companies,release_date_World,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,_merge,date_difference,region,anime
The Shock Labyrinth 3D,805638,805638,Asmik Ace Entertainment,2009-10-16,2009,theshocklabyrinth3d,False,,,,,,,,,,,,,,,,left_only,,Unknown,1
The Shipping News,335759,335759,-,2002-03-23,2002,theshippingnews,False,6440.0,Drama-Romance,en,An emotionally-beaten man with his young daughter moves to his ancestral home in Newfoundland to reclaim his life.,9.972,Miramax,2001-12-18,38000000.0,24690441.0,111.0,Released,You'll never guess what you'll find inside...,6.3,324.0,Kevin Spacey-Julianne Moore-Cate Blanchett-Judi Dench-Pete Postlethwaite-Scott Glenn-Rhys Ifans-Gordon Pinsent-Jason Behr-Katherine Moennig-Larry Pine-Jeannetta Arnette-Marc Lawrence,both,95 days,Foreign,0
The Shape of Water,8344495,8344495,20th Century Fox International,2018-03-01,2018,theshapeofwater,False,399055.0,Drama-Fantasy-Romance,en,An other-worldly story set against the backdrop of Cold War era America circa 1962 where a mute janitor working at a lab falls in love with an amphibious man being held captive there and devises a plan to help him escape.,25.674,Double Dare You Productions-Fox Searchlight Pictures-Bull Productions-TSG Entertainment,2017-12-01,19500000.0,195333312.0,123.0,Released,A Fairy Tale for Troubled Times,7.2,11335.0,Sally Hawkins-Doug Jones-Michael Shannon-Richard Jenkins-Octavia Spencer-Michael Stuhlbarg-David Hewlett-Nick Searcy-Stewart Arnott-Nigel Bennett-Lauren Lee Smith-Martin Roach-Allegra Fulton-John Kapelos-Morgan Kelly-Wendy Lyon-Madison Ferguson-Jayden Greig-Deney Forrest-Brandon McKnight-Dru Viergever-Marvin Kaye-Jim Pagiamtzis-Cameron Laurie-Alexey Pankratov-Shane Clinton Jarvis-Evgeny Akimov-Dave Reachill-Matthew Mease-Amanda Smith-Maxine Grossman-Edward Tracz-Shaila D'Onofrio-Vanessa Oude-Reimerink-Sergey Nikonov-Jonelle Gunderson-Clyde Whitham-Dan Lett-Danny Waugh-Karen Glave-Diego Fuentes-Cody Ray Thompson,both,90 days,Foreign,0
The Shallows,1572328,1572328,Sony Pictures Releasing,2016-07-23,2016,theshallows,False,332567.0,Horror-Drama-Thriller,en,When Nancy is surfing on a secluded beach she finds herself on the feeding ground of a great white shark. Though she is stranded only 200 yards from shore survival proves to be the ultimate test of wills requiring all of Nancy's ingenuity resourcefulness and fortitude.,28.221,Columbia Pictures-Ombra Films-Weimaraner Republic Pictures,2016-06-24,17000000.0,119100758.0,86.0,Released,What was once in the deep is now in the shallows.,6.354,4630.0,Blake Lively-Óscar Jaenada-Janelle Bailey-Chelsea Moody-Angelo Josue Lozano Corzo-José Manuel Trujillo Salas-Brett Cullen-Sedona Legge-Pablo Calva-Diego Espejel-Ava Dean,both,29 days,Foreign,0
The Shadow Spirit,1266688,3643005,Toshiba Entertainment,2007-12-22,2007,theshadowspirit,False,225896.0,Thriller-Crime,ja,"A series of murders of beautiful girls occur in Tokyo not long after the end of the war. Also the daughter of a retired actress Yuzuki Yoko has gone missing. In the meantime a religious cult that claims to shut away misfortunes in a box has been gaining popularity displaying an eerie aspect. Yoko's daughter is alleged to have been run over by a train and taken into a research institute situated in a gigantic box-shaped building. A private detective Enokizu (Abe Hiroshi) a writer Sekiguchi (Shiina Kippei) a journalist Atsuko and a police detective Kiba each pursues their own case and Chuzenji (Tsutsumi Shinichi) an owner of a secondhand bookshop ""Kyogoku Do"" suspects that all cases are linked to the box-shaped research institute.",1.4,Showgate,2007-12-21,0.0,0.0,133.0,Released,,5.0,2.0,Shinichi Tsutsumi-Kippei Shiina-Hiroshi Abe-Hiroyuki Miyasako-Akira Emoto-Hitomi Kuroki-Rena Tanaka-Ryoko Shinohara,both,1 days,Japan,0
The Shack,196984,196984,Toei Company,2017-09-09,2017,theshack,False,345938.0,Drama-Fantasy,en,After suffering a family tragedy Mack Phillips spirals into a deep depression causing him to question his innermost beliefs. Facing a crisis of faith he receives a mysterious letter urging him to an abandoned shack deep in the Oregon wilderness. Despite his doubts Mack journeys to the shack and encounters an enigmatic trio of strangers led by a woman named Papa. Through this meeting Mack finds important truths that will transform his understanding of his tragedy and change his life forever.,80.527,Summit Entertainment-Netter Productions,2017-03-03,20000000.0,92924405.0,132.0,Released,You're never as alone as you think.,7.5,1851.0,Sam Worthington-Octavia Spencer-Tim McGraw-Aviv Alush-Sumire Matsubara-Radha Mitchell-Graham Greene-Gage Munroe-Megan Charpentier-Lane Edwards-Alice Braga-Ryan Robbins-Emily Holmes-Amélie Eve-Jordyn Ashley Olson-Laura MacKillop-Derek Hamilton-Tanya Hubbard-Carson Reaume-David MacKay-Chris Britton-Kendall Cross-Jay Brazeau-Greta Makena Gibson-David Longworth-Ty Olsson-Leena Manro-Kayla Fielding-Grace Netter,both,190 days,Foreign,0
The Seven Deadly Sins: Prisoners of the Sky,3840168,3840168,Toei Company,2018-08-18,2018,thesevendeadlysins:prisonersofthesky,False,507569.0,Action-Adventure-Fantasy-Animation,ja,Traveling in search of the rare ingredient “sky fish”  Meliodas and Hawk arrive at a palace that floats above the clouds. The people there are busy preparing a ceremony meant to protect their home from a ferocious beast that awakens once every 3000 years. But before the ritual is complete the Six Knights of Black—a Demon Clan army—removes the seal on the beast threatening the lives of everyone in the Sky Palace.,9.227,A-1 Pictures,2018-08-18,0.0,0.0,99.0,Released,,7.5,917.0,Yuki Kaji-Sora Amamiya-Misaki Kuno-Tatsuhisa Suzuki-Jun Fukuyama-Aoi Yuki-Tomokazu Sugita-Maaya Sakamoto-Yuuhei Takagi-Takaya Kuroda-Reiko Suzuki-Toshiyuki Morikawa-Toru Sakurai-Masuo Amada-Haruka Tomatsu-Yoko Hikasa-Rintaro Nishi-Tsubasa Yonaga-Akio Otsuka-Sora Amamiya,both,0 days,Japan,1
The Seven Deadly Sins: Cursed by Light,836170,1094673,Toei Company,2021-07-02,2021,thesevendeadlysins:cursedbylight,False,843241.0,Animation-Fantasy,ja,"With the help of the ""Dragon Sin of Wrath"" Meliodas and the worst rebels in history the Seven Deadly Sins the ""Holy War"" in which four races including Humans Goddesses Fairies and Giants fought against the Demons is finally over. At the cost of the ""Lion Sin of Pride"" Escanor's life the Demon King was defeated and the world regained peace. After that each of the Sins take their own path.",109.979,Studio Deen,2021-07-02,0.0,1094673.0,79.0,Released,,7.8,429.0,Yuki Kaji-Sora Amamiya-Misaki Kuno-Aoi Yuki-Tatsuhisa Suzuki-Jun Fukuyama-Yuuhei Takagi-Maaya Sakamoto-Tomokazu Sugita-Yuichi Nakamura-Shinichiro Kamio-Kana Kurashina,both,0 days,Japan,1
The Serialist,888734,888734,Toei Company,2013-06-15,2013,theserialist,False,244246.0,Mystery,ja,"Ippei Akabane (Takaya Kamikawa) is an unpopular novelist. He barely makes ends meet writing serials novels under different pen names. Daigo Kurei (Shinji Takeda) is on death row. He killed four women twelve years ago. During his murdering spree he sent pictures of his decapitated victims with flower decoration to the police. The murders and photos caused widespread panic in Japan.  One day Ippei is contacted by Daigo from prison. He asks Ippei if he wants to interview him and write his memoirs. Soon more women are killed in the same grisly manner as the serial murders from twelve years ago. Now Ippei becomes the prime suspect of the police and Ippei must quickly find the real murderer.  Based on the novel ""The Serialist"" by David Gordon (published by Simon &amp; Schuster; Original edition on March 9 2010).",0.637,,2013-06-15,0.0,0.0,115.0,Released,,0.0,0.0,Shinji Takeda-Takaya Kamikawa-Nana Katase-Aya Hirayama-Rina Koike-Tomoka Kurotani-Chikako Kaku-Denden-Kazushige Nagashima-Keiko Toda-Katsuo Nakamura-Sumie Sasaki-Hirotaro Honda-Masatō Ibu-Keiko Takahashi-Mami Abe,both,0 days,Japan,0
The Sentinel,1243380,1985060,20th Century Fox International,2006-10-07,2006,thesentinel,False,5820.0,Action-Thriller-Crime,en,A secret service agent is framed as the mole in an assassination attempt on the president. He must clear his name and foil another assassination attempt while on the run from a relentless FBI agent.,13.124,20th Century Fox-Dune Entertainment-Major Studio Partners-Regency Enterprises-Epsilon Motion Pictures-New Regency Pictures-Sentinel Productions-Furthur Films,2006-04-19,60000000.0,78810595.0,108.0,Released,"In 141 years, there's never been a traitor in the Secret Service.... Until Now.",6.0,657.0,Michael Douglas-Kiefer Sutherland-Eva Longoria-Martin Donovan-Kim Basinger-Ritchie Coster-Blair Brown-David Rasche-Kristin Lehman-Raynor Scheine-Chuck Shamata-Paul Calderon-Clark Johnson-Raoul Bhaneja-Yanna McIntosh-Joshua Peace-Simon Reynolds-Gloria Reuben-Scott Gibson-Ron Lea-Roman Podhora-Sarah Plommer-Conrad Coates-Gordon Currie-Ronald Reagan-Matt Birman,both,171 days,Foreign,0
The Secret World of Arrietty,110013058,110013058,Toho Company,2010-07-17,2010,thesecretworldofarrietty,False,51739.0,Fantasy-Animation-Family,ja,"14-year-old Arrietty and the rest of the Clock family live in peaceful anonymity as they make their own home from items ""borrowed"" from the house's human inhabitants. However life changes for the Clocks when a human boy discovers Arrietty.",34.351,Wild Bunch-TOHO-dentsu-Nippon Television Network Corporation-Studio Ghibli-Hakuhodo DY Media Partners-Mitsubishi Shoji-The Walt Disney Company Japan,2010-07-16,23000000.0,149480483.0,94.0,Released,Do not be seen by humans. That's been the law of children of the underfloor.,7.6,2399.0,Mirai Shida-Ryunosuke Kamiki-Tomokazu Miura-Keiko Takeshita-Kirin Kiki-Shinobu Otake-Tatsuya Fujiwara,both,1 days,Japan,1
The Secret Life of Walter Mitty,7531794,9347860,20th Century Fox International,2014-03-19,2014,thesecretlifeofwaltermitty,False,116745.0,Adventure-Comedy-Drama-Fantasy,en,A timid magazine photo manager who lives life vicariously through daydreams embarks on a true-life adventure when a negative goes missing.,28.32,TSG Entertainment-Big Screen Productions-Down Productions-Red Hour,2013-12-18,90000000.0,188133322.0,114.0,Released,"Stop Dreaming, Start Living",7.162,6843.0,Ben Stiller-Kristen Wiig-Sean Penn-Shirley MacLaine-Adam Scott-Kathryn Hahn-Patton Oswalt-Adrian Martinez-Ólafur Darri Ólafsson-Gunnar Helgason-Terence Bernie Hines-Alex Anfanger-Gary Wilmes-Jon Daly-Asta Paredes-Gurdeep Singh-Paul Fitzgerald-Grace Rex-Amanda Naughton-Nolan Carley-Joey Slotnick-Marcus Antturi-Amy Stiller-Rosamund Gundmundsdottir-Stuart Cornfeld-Maariu Olsen-Makka Kleist-Þórhallur Sigurðsson-Ari Matthíasson-Hendrikus Schraven-Finni Johannsson-Eysteinn Gardarsson-José Alcántara-Rodrigo Espinosa-Seba Alón-Miguel Baez-Olavarria-Daniel Orellana-Antonio Molina-Martin Lagos-Andres Quezada-Valur Snaer Hilmarsson-Eythor Atli Hilmarsson-Birgir Jarl Runarsson-Kai Lennox-Conan O'Brien-Andy Richter-Anthony Desio-Losang Thonden-Rinjee Sherpa-Haroon Nawabi-Stefan B. Onundarson-Mohammed Arif Baser-Mohammed Pancherri-Ehsan Nawroz-Steve Assil-Ang Babu Sherpa-Ang Gelu Sherpa-Dawa Sherpa-Ngima T. Sherpa-Nuri Chhiri Sherpa-Sonam Sherpa-Phurba Tashi Sherpa-Walter Mudu-Liz Mikel-Brian Scott McFadden-Dion Graham-Richard DeDomenico-Matt Levin-Craig 'Radioman' Castaldo-George Aloi-Paul Bosche-Jerome Brooks Jr.-Brady Bryson-Greg Cipes-Marmee Regine Cosico-Jay Ferraro-Gary Ferster-Samantha Gelnaw-Efraiem Hanna-Rosemary Howard-Ilan Krigsfeld-Alex Kruz-Anna Kuchma-Dennis Lauricella-Raymond Mamrak-Jennifer Leigh Mann-Ryan McBride-Ryan Nicolls-Hal Panchansky-Roy Pollack-Wes Pope-Lil Rhee-Bennie Road-Shade Rupe-Stephen Sapienza-Chloe Elaine Scharf-Joshua Schubart-Tara Strong-Rob Tode-Marco Torriani-Barbara Vincent-Hynden Walch-Kelsey Wang-Christopher Watts-William Henderson White-Nicole Neuman-Dennis Rees,both,91 days,Foreign,0
The Secret Life of Pets 2,18395896,20101844,Toho-Towa,2019-07-26,2019,thesecretlifeofpets2,False,412117.0,Adventure-Animation-Comedy-Family,en,Max the terrier must cope with some major life changes when his owner gets married and has a baby. When the family takes a trip to the countryside nervous Max has numerous run-ins with canine-intolerant cows hostile foxes and a scary turkey. Luckily for Max he soon catches a break when he meets Rooster a gruff farm dog who tries to cure the lovable pooch of his neuroses.,63.282,Universal Pictures-Illumination-Universal Animation Studios,2019-05-24,80000000.0,155152550.0,86.0,Released,They still have their secrets.,7.0,2650.0,Patton Oswalt-Kevin Hart-Eric Stonestreet-Jenny Slate-Tiffany Haddish-Lake Bell-Nick Kroll-Dana Carvey-Ellie Kemper-Chris Renaud-Harrison Ford-Bobby Moynihan-Hannibal Buress-Pete Holmes-Henry Lynch-Tara Strong-Sean Giambrone-Meredith Salenger-Michael Beattie-Kiely Renaud-Jessica DiCicco-Garth Jennings-David Acord-Jaime Camil-Antonio Raul Corbo-Brian T. Delaney-Terri Douglas-Sandra Echeverría-Kylie Hart-JP Karliak-John Kassir-Scott Menville-Scott Mosier-Laraine Newman-Capri Oliver-Arthur Ortiz-Lucian Perez-Maddix Robinson-Ashley Silverman-Fred Tatasciore-Cory Walls-Matthew Wood,both,63 days,Foreign,1
The Secret Life of Pets,41733387,41733387,Universal Pictures International (UPI),2016-08-11,2016,thesecretlifeofpets,False,328111.0,Adventure-Comedy-Animation-Family,en,The quiet life of a terrier named Max is upended when his owner takes in Duke a stray whom Max instantly dislikes.,14.107,Illumination,2016-06-18,75000000.0,875457937.0,86.0,Released,Think this is what they do all day?,6.262,7450.0,Louis C.K.-Eric Stonestreet-Kevin Hart-Jenny Slate-Ellie Kemper-Albert Brooks-Lake Bell-Dana Carvey-Hannibal Buress-Bobby Moynihan-Chris Renaud-Steve Coogan-Michael Beattie-Sandra Echeverría-Jaime Camil-Kiely Renaud-Tara Strong-Jason Marsden-Mona Marshall-Brian T. Delaney-Bill Farmer-Jan Rabson-Ken Schretzmann-John Kassir-Danny Mann-Jim Ward-Tyler Werrin-Bob Bergen-Jim Cummings-Jess Harnell-Laraine Newman,both,54 days,Foreign,1
The Secret Life of Bees,67497,72000,20th Century Fox International,2009-03-20,2009,thesecretlifeofbees,False,12837.0,Family-Adventure-Drama,en,Set in South Carolina in 1964 this is the tale of Lily Owens a 14 year-old girl who is haunted by the memory of her late mother. To escape her lonely life and troubled relationship with her father Lily flees with Rosaleen her caregiver and only friend to a South Carolina town that holds the secret to her mother's past.,16.065,Fox Searchlight Pictures-The Donners' Company-Overbrook Entertainment-Dune Entertainment III,2008-09-17,11000000.0,38105395.0,114.0,Released,"Bring Your Girlfriends, Sisters, Mothers and Daughters.",7.5,449.0,Dakota Fanning-Queen Latifah-Jennifer Hudson-Alicia Keys-Sophie Okonedo-Paul Bettany-Hilarie Burton-Tristan Mack Wilds-Nate Parker-Shondrella Avery-Renee Clark-Sharon Conley-Nicky Buggs-Jasmine Burke-Emma Sage Bowman-Addy Miller-Emily Alyn Lind-Taylor Kowalski-Bob Hungerford-Richard Todd Sullivan-Chris Moore-Bill Oberst Jr.-Cullen Moss-Walt Rider-Dan Beene-Joe Chrest-Robin Mullins-Tom Conder-Jay Pearson-Dan Cox-Quentin Kerr,both,184 days,Foreign,0
The Sea Is Watching,1493114,1493114,-,2002-07-27,2002,theseaiswatching,False,,,,,,,,,,,,,,,,left_only,,Unknown,1
The Scythian Lamb,5136779,5136779,Asmik Ace Entertainment,2018-02-03,2018,thescythianlamb,False,418109.0,Crime-Drama,ja,Based on a manga written by Tatsuhiko Yamagami the story is set in a former seaport town Uobuka where 6 former criminals were sent to live there by the government with the intention of re-socialising them. Aside from the few who know about the project the general townsfolk has no idea of the former convicts' identities. Tsukisue is the pleasant and efficient municipal official put in charge of the programme. As he slowly learns about their past a body is discovered.,4.753,Asmik Ace-Geek Sight,2018-02-03,0.0,0.0,126.0,Released,,6.4,13.0,Ryo Nishikido-Fumino Kimura-Ryuhei Matsuda-Kazuki Kitamura-Yuka-Mikako Ichikawa-Shingo Mizusawa-Min Tanaka-Yuji Nakamura-Tamae Ando-Yoshihiko Hosoda-Toshiyuki Kitami-Satoru Matsuo-Miyako Yamaguchi-Shinsuke Suzuki-Sanshô Shinsui-Yohta Kawase-Masatoshi Kihara-Tsuyoshi Nakano-Daichi-Kazunari Murakami,both,0 days,Japan,0
The Scorpion King,8824906,8824906,-,2002-06-08,2002,thescorpionking,False,9334.0,Action-Adventure-Fantasy,en,In ancient Egypt peasant Mathayus is hired to exact revenge on the powerful Memnon and the sorceress Cassandra who are ready to overtake Balthazar's village. Amid betrayals thieves abductions and more Mathayus strives to bring justice to his complicated world.,26.569,Universal Pictures-Kalima Productions GmbH & Co. KG-Alphaville Films,2002-04-18,60000000.0,165333180.0,92.0,Released,Warrior. Legend. King.,5.6,2750.0,Dwayne Johnson-Steven Brand-Michael Clarke Duncan-Kelly Hu-Bernard Hill-Grant Heslov-Peter Facinelli-Ralf Moeller-Branscombe Richmond-Roger Rees-Sherri Howard-Conrad Roberts-Joseph Ruskin-Esteban Cueto-Nils Allen Stewart-Scott L. Schwartz-Andre Henschel-Michael Hilow-Nick Hermz-Wesley John-Michelle Baney -Barry Kramer-Marissa McMahon-Tim Iannello-K.D. Aubert-Sonia Vera-Angélica Castro-Tutu Sweeney-Yuki Tokuhiro-Te'Amir Sweeney-Al Leong-Woon Young Park-Marcus Young-Paul Sloan-Talani Rabb-Sole Alberti-Cristina Rodríguez-Pennelope Jimenez-Sean Michael Afable-Adoni Maropis-Bernard White-Amy Hunter-Diana R. Lupo-Heather Burton-Nikki Flux-Rachel Moore-Summer Altice-Brandon Gonzalez-Peter Quartaroli-Peter Navy Tuiasosopo-Amanda Bentley-Claudi E. Orellana-Jim Maniaci-Shant Demirjian-Gus Rethwisch-Richard Cetrone-Job Alonso-Kitana Baker-Jennifer Bobiwash-Christie Campagna-Tracy Dali-Rose Davidson-Skye Dennis-Wayne Eric-Amy Fadhli-Joss Gomez-Tony Gracia-Zuhair Haddad-Jamie Hagan-Prince Thompson Iyamu-Tyler Mane-Julie Michaels-George D. Miklos-Radhaa Nilia-Somaya Reece-Mailon Rivera-Rachelle Roderick-Marcio Rosario-Terence J. Rotolo-Bobby Silva-Andrei Sterling-Joseph Steven-Tai-Ed Verreaux,both,51 days,Foreign,0
The Science of Sleep,433103,525717,Asmik Ace Entertainment,2007-04-28,2007,thescienceofsleep,False,300.0,Comedy-Drama-Fantasy,fr,A man entranced by his dreams and imagination is lovestruck with a French woman and feels he can show her his world.,15.42,Gaumont-Canal+-France 3 Cinéma-TPS Star-Partizan Films-Mikado Film,2006-02-11,6000000.0,9524340.0,105.0,Released,Close your eyes. Open your heart.,7.1,644.0,Gael García Bernal-Charlotte Gainsbourg-Miou-Miou-Alain Chabat-Emma de Caunes-Aurélia Petit-Sacha Bourdo-Pierre Vaneck-Stéphane Metzger-Alain de Moyencourt-Inigo Lezzi-Yvette Petit-Jean-Michel Bernard-Bertrand Delpierre-Eric Mariotto,both,441 days,Foreign,0
The Santa Clause 2,87469,87469,-,2002-12-07,2002,thesantaclause2,False,9021.0,Fantasy-Comedy-Family,en,Better watch out! The big guy in red is coming to town once again. This time Scott Calvin -- also known as Santa Claus -- finds out there's an obscure clause in his contract requiring him to take on a wife. He has to leave the North Pole to fulfill his obligations or else he'll be forced to give up his Yuletide gig.,13.025,Walt Disney Pictures-Outlaw Productions-Boxing Cat Films,2002-10-31,65000000.0,172842355.0,104.0,Released,What's Christmas Fun without some Reindeer Games?,5.9,1116.0,Tim Allen-Elizabeth Mitchell-David Krumholtz-Eric Lloyd-Judge Reinhold-Wendy Crewson-Spencer Breslin-Liliana Mumy-Danielle Woodman-Art LaFleur-Aisha Tyler-Kevin Pollak-Jay Thomas-Michael Dorn-Christopher Attadia-Curtis Butchart-Jamal Allen-Alexander Pollock-Bryce Hodgson-Molly Shannon-Carmen Aguirre-Leanne Adachi-Blu Mankuma-Andrew Stone-Kenya Jo Kennedy-Janne Mortil-Alexandra Purvis-Fred Keating-Fred Ewanuick-Dan Joffre-J. B. Bivens-Alexander Hoy-Bart Anderson-Beverley Elliott-D. Neil Mark-Ted Cole-Nicole Leroux-Michael P. Northey-Alejandro Abellan-June B. Wilde-Charles Payne-Gary Jones-Victor Brandt-Kath Soucie-Bob Bergen-Nicola Anderson-Anysha Berthot-Peter Boyle-Caroline Chan-Myles Jeffrey-Connor Matheus-Valerie Tian-Beatrice Zeilinger-Vinicius Zorin-Machado-Patrick Dorn,both,37 days,Foreign,0
The Samurai I Loved,6831681,9910280,Toho Company,2005-10-01,2005,thesamuraiiloved,False,56661.0,Drama-Romance-History,ja,A young samurai stuck at the bottom of the hierarchical order attempts to rescue his childhood sweetheart from an evil clan lord after learning of a plot to kill her and her infant child. Bunshiro Maki is a skilled swordfighter who's lethal with a blade yet still can't rise through the ranks of the system. After his father is accused of plotting against his clan and forced to commit ritual suicide his longtime love Fuku is sent to Edo to become the clan lord's concubine. A few years later Fuku has bore the clan lord a son. When Maki learns that the clan has hatched a plan to kill Fuku and her son to secure succession to the throne he recruits two childhood friends to help thwart the diabolical plot.,1.74,Toho,2005-10-01,0.0,0.0,131.0,Released,,7.1,11.0,Matsumoto Kōshirō X-Yoshino Kimura-Koji Imada-Ryô Fukawa-Mieko Harada-Ken Ogata-Yuko Nakamura-Yoji Tanaka,both,0 days,Japan,0
The Rum Diary,784355,784355,Showgate,2012-06-30,2012,therumdiary,False,23514.0,Comedy-Drama,en,Tired of the noise and madness of New York and the crushing conventions of late Eisenhower-era America itinerant journalist Paul Kemp travels to the pristine island of Puerto Rico to write for a local San Juan newspaper run by the downtrodden editor Lotterman. Adopting the rum-soaked lifestyle of the late ‘50s version of Hemingway’s 'The Lost Generation' Paul soon becomes entangled with a very attractive American woman and her fiancée a businessman involved in shady property development deals.  It is within this world that Kemp ultimately discovers his true voice as a writer and integrity as a man.,9.401,FilmEngine-Infinitum Nihil-GK Films,2011-10-13,45000000.0,24000000.0,120.0,Released,One part outrage. One part justice. Three parts rum. Mix well.,5.9,1026.0,Johnny Depp-Amber Heard-Aaron Eckhart-Michael Rispoli-Giovanni Ribisi-Richard Jenkins-Amaury Nolasco-Marshall Bell-Bill Smitrovich-Julian Holloway-Enzo Cilenti-Aaron Lustig-Natalia Rivera-Jimmy Ortega,both,261 days,Foreign,0
The Rookie,3967917,3967920,-,2003-01-18,2003,therookie,False,14635.0,Drama-Family,en,Jim Morris never made it out of the minor leagues before a shoulder injury ended his pitching career twelve years ago. Now a married-with-children high-school chemistry teacher and baseball coach in Texas Jim's team makes a deal with him: if they win the district championship Jim will try out with a major-league organization. The bet proves incentive enough for the team and they go from worst to first making it to state for the first time in the history of the school. Jim forced to live up to his end of the deal is nearly laughed off the try-out field--until he gets onto the mound where he confounds the scouts (and himself) by clocking successive 98 mph fastballs good enough for a minor-league contract with the Tampa Bay Devil Rays. Jim's still got a lot of pitches to throw before he makes it to The Show but with his big-league dreams revived there's no telling where he could go.,11.954,Walt Disney Pictures-Gran Via Productions-98 MPH Productions,2002-03-25,20000000.0,75597042.0,127.0,Released,Sometimes dreams come back to life.,6.7,358.0,Dennis Quaid-Rachel Griffiths-Jay Hernandez-Beth Grant-Angus T. Jones-Brian Cox-Rick Gonzalez-Chad Lindberg-Angelo Spizzirri-Royce D. Applegate-Russell Richardson-Raynor Scheine-Chris Sheffield-Brandon Smith,both,299 days,Foreign,0
The Rite,2570932,2570932,Warner Bros.,2011-04-09,2011,therite,False,48171.0,Drama-Thriller-Horror,en,Seminary student Michael Kovak reluctantly attends exorcism school at the Vatican. While he’s in Rome Michael meets an unorthodox priest who introduces him to the darker side of his faith uncovering the devil’s reach even to one of the holiest places on Earth.,17.776,New Line Cinema-Contrafilm-Mid Atlantic Films-Hungarian National Film Office-Lazio Film Commission-Rome Film Commission,2011-01-28,37000000.0,96047633.0,114.0,Released,You can only defeat it when you believe.,6.088,1837.0,Anthony Hopkins-Colin O'Donoghue-Alice Braga-Rutger Hauer-Ciarán Hinds-Toby Jones-Maria Grazia Cucinotta-Marta Gastini-Arianna Veronesi-Andrea Calligari-Chris Marquette-Torrey DeVitto-Ben Cheetham-Marija Karan-Rosa Pianeta-Giampiero Ingrassia-Rosario Tedesco-Cecilia Dazzi-Attila Bardóczy-Nadia Kibout-Anita Pititto-Sandor Baranyai-Fabiola Balestriere-Aniko Vincze,both,71 days,Foreign,0
The Ringer,22925,22925,20th Century Fox International,2007-04-21,2007,theringer,False,9927.0,Comedy,en,Pressured by a greedy uncle and a pile of debt lovable loser Steve Barker resorts to an unthinkable contemptible just-crazy-enough-to-work scheme. He pretends to be mentally challenged to rig the upcoming Special Olympics and bring home the gold. But when Steve's fellow competitors get wise to the con they inspire him to rise to the greatest challenge of all: becoming a better person.,6.619,Fox Searchlight Pictures,2005-12-23,0.0,40442437.0,94.0,Released,Make it special,5.7,276.0,Johnny Knoxville-Brian Cox-Katherine Heigl-Luis Ávalos-Jed Rees-Leonard Earl Howze-Geoffrey Arend-Edward Barbanell-Bill Chott-Mike Cerrone-Terry Funk-Leonard Flowers-Janna Ambort-Steve Levy-Zen Gesner-Alcides Dias-Bo Kane-Mohammad Ahmed-Brad Leland-John Taylor-Jacqueline Wright,both,484 days,Foreign,0
The Ring Two,2389632,2389632,Asmik Ace Entertainment,2005-06-18,2005,theringtwo,False,10320.0,Drama-Horror-Thriller,en,Rachel Keller must prevent evil Samara from taking possession of her son's soul.,34.409,DreamWorks Pictures-BenderSpink-Parkes+MacDonald Image Nation,2005-03-17,50000000.0,161451538.0,110.0,Released,The dead don't sleep.,5.7,2008.0,Naomi Watts-Simon Baker-David Dorfman-Elizabeth Perkins-Ryan Merriman-Sissy Spacek-Gary Cole-Emily VanCamp-Mary Elizabeth Winstead-Kelly Overton-James Lesure-Daveigh Chase-Kelly Stables-Cooper Thornton-Jesse Burch-Chane't Johnson-Marilyn McIntyre,both,93 days,Foreign,0
The Ring,35837,14150184,-,2002-11-02,2002,thering,False,565.0,Horror-Mystery,en,Rachel Keller is a journalist investigating a videotape that may have killed four teenagers. There is an urban legend about this tape: the viewer will die seven days after watching it. Rachel tracks down the video... and watches it. Now she has just seven days to unravel the mystery of the Ring so she can save herself and her son.,40.024,DreamWorks Pictures-BenderSpink-Parkes+MacDonald Image Nation,2002-10-18,48000000.0,249348933.0,115.0,Released,"Before you die, you see…",6.646,5405.0,Naomi Watts-Martin Henderson-David Dorfman-Brian Cox-Jane Alexander-Lindsay Frost-Amber Tamblyn-Rachael Bella-Daveigh Chase-Shannon Cochran-Sandra Thigpen-Richard Lineback-Sasha Barrese-Tess Hall-Adam Brody-Alan Blumenfeld-Pauley Perrette-Joe Chrest-Stephanie Erb-Joanna Lin Black-Michael Spound-Art Frankel-Billy Lloyd-Sara Rue-Keith Campbell-Ronald William Lawrence-Lindsey Stoddart-Joe Sabatino-Aixa Clemente-Coleen Maloney-Catherine Paolone-Maura McNamara-David Povall-Gary Carlos Cervantes-Chuck Hicks,both,15 days,Foreign,0
