title,gross,total_gross,distributor,release_date_JP,release_year_JP,title_short,re_released,id,genres,original_language,overview,popularity,production_companies,release_date_World,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,_merge,date_difference,region,anime
"My Tomorrow, Your Yesterday",5318518,13230218,Toho Company,2016-12-17,2016,"mytomorrow,youryesterday",False,,,,,,,,,,,,,,,,left_only,,Unknown,1
"My Teacher, My Love",1051536,2550042,Toho Company,2018-08-01,2018,"myteacher,mylove",False,527281.0,Romance-Comedy,ja,Ayuha Samaru is a high school student. She is honest and works hard at everything no matter what. One day she has trouble at a gyudon restaurant due to money. A man at the restaurant Yoshitaka Hiromitsu helps her out. The next day she finds that Yoshitaka Hiromitsu has come to her school as a substitute teacher for her ill homeroom teacher. Ayuha Samaru now believes that Yoshitaka Hiromitsu is her fate in love. She keeps expressing her feelings to him.,7.226,Toho,2018-08-01,0.0,0.0,105.0,Released,,7.6,46.0,竹内涼真-Minami Hamabe-Taiki Sato-Rina Kawaei-Yua Shinkawa-Yuma Yamoto-Yuki Saso-Riko Fukumoto-Keiko Kitagawa-Yushin Shinohara-Yūto Fuchino-Moeka Hoshi-Karen Masaki-Naohiro Yamamoto-Satoshi Jinbo,both,0 days,Japan,0
My Teacher,4330128,4330128,Warner Bros.,2017-10-28,2017,myteacher,False,447180.0,Romance-Drama,ja,"Hibiki Shimada a normal 17-year-old high school student still does not know how to fall in love—although surrounded by love ""experts""—until one day she realizes that she's fallen in love with her hot and nice 26-year-old teacher Itou. She then takes a path to make her teacher understand how she feels for him.",7.714,TBS-Shueisha-MBS-Warner Bros. Japan-J Storm-Hokkaido Broadcasting Co.-CBC-RKB Mainichi Broadcasting Corporation-Tokyu Agency-GYAO-Foster Plus Co.-Dragonfly Entertainment,2017-10-28,0.0,0.0,113.0,Released,,7.4,27.0,Toma Ikuta-Suzu Hirose-Ryo Ryusei-Aoi Morikawa-Kentaro Ito-Tomoya Nakamura-Manami Higa-Akiko Yagi-Leo Morimoto,both,0 days,Japan,0
My Sister's Keeper,7925276,8241290,Gaga,2009-10-09,2009,mysister'skeeper,False,10024.0,Drama,en,Sara and Brian live an idyllic life with their young son and daughter. But their family is rocked by sudden heartbreaking news that forces them to make a difficult and unorthodox choice in order to save their baby girl's life. The parents' desperate decision raises both ethical and moral questions and rips away at the foundation of their relationship. Their actions ultimately set off a court case that threatens to tear the family apart while revealing surprising truths that challenge everyone's perceptions of love and loyalty and give new meaning to the definition of healing.,28.261,Mark Johnson Productions-Gran Via Productions-Curmudgeon Films-New Line Cinema,2009-06-26,30000000.0,95714875.0,109.0,Released,"A tale of life, love, and letting go.",7.354,1874.0,Cameron Diaz-Abigail Breslin-Sofia Vassilieva-Alec Baldwin-Jason Patric-Joan Cusack-Emily Deschanel-Heather Wahlquist-Evan Ellingson-Frank Cassavetes-Nicole Marie Lenz-Chris Kinkade-Rick Salomon-Frank Peluso-Rico Simonini-Keith Kraft-Elizabeth Daily-Lin Shaye-Thomas Dekker-Jeffrey Markle-David Thornton,both,105 days,Foreign,0
My SO Has Got Depression,10127426,10127426,Toei Company,2011-10-08,2011,mysohasgotdepression,False,85575.0,Drama-Comedy,ja,Mikio is a married man and works hard for the company where he is employed. Then one day Mikio is diagnosed with depression. Mikio's wife is Haruko. They have been married for 5 years. Haruko draws comics for work but they do not sell well. She mainly relied on Mikio for support. Meanwhile Haruko did not notice any changes in her husband. She begins to blame herself for not noticing any signs. Mikio's depression derived from his work. His company has been pressing him to quit the company. After Mikio quits his job his condition improves but the dynamics of their relationship changes.,3.363,Toei Company,2011-10-08,0.0,0.0,121.0,Released,,6.4,10.0,Aoi Miyazaki-Masato Sakai-Mitsuru Fukikoshi-Kanji Tsuda-Hiroshi Inuzuka-Ren Osugi-Kimiko Yo,both,0 days,Japan,0
My Rainy Days,868360,868360,Gaga,2009-11-07,2009,myrainydays,False,43635.0,Drama-Romance,ja,Because of her past 17-year-old Rio lives her days filling the emptiness in her heart with money--until one day she meets a university professor named Kouki and falls in love.,8.234,GAGA Communications-TV Asahi-Japan Music Entertainment-Sedic Deux-U's Film-TOP COAT-CIRCUS,2009-11-07,0.0,1090202.0,119.0,Released,,7.5,115.0,Nozomi Sasaki-Shosuke Tanihara-Hikaru Yamamoto-Mitsuki Oishi-Araki Nanaki-Saki Kagami-Motoki Fukami-Wakana Sakai-Mitsuru Fukikoshi-Mayumi Wakamura-Kanji Tsuda,both,0 days,Japan,0
My Lover Is a Sniper: The Movie,203941,1839020,-,2004-04-17,2004,myloverisasniper:themovie,False,,,ja,,,,,,,,,,,,,left_only,,Japan,1
My Love Story!!,6830188,6830188,Toho Company,2015-10-31,2015,mylovestory!!,False,356156.0,Comedy-Romance,ja,Takeo Goda is a high school student 2 m tall and weighting more than 100 kg. He has a righteous character. The male students adore him but female students do not like him. All of the girls Takeo likes prefer his handsome friend Makoto Sunakawa.  One day Takeo saves female high school student Rinko Yamato from a pervert on train. Takeo falls in love with her at first sight. He feels Rinko likes Makoto but Makoto isn't the one she likes. Takeo struggles to liaise between Rinko and Makoto.,5.663,Toho,2015-10-31,0.0,0.0,105.0,Released,,7.2,25.0,Ryohei Suzuki-Mei Nagano-Kentaro Sakaguchi-Yasufumi Terawaki-Sawa Suzuki-Kentaro Ito-Ryo Shinoda-Mao Nakagawa-Tsukushi Suzuki,both,0 days,Japan,0
My Little Monster,1365883,3962689,Toho Company,2018-04-27,2018,mylittlemonster,False,507612.0,Romance-Comedy-Drama,ja,Problem student Haru Yoshida sits next to the cold and studious Shizuku Mizutani in class. Without any other friends to turn to both of them start to get to know each other and grow closer. Haru eventually develop feelings for Shizuku and confesses his feelings to her. Will Haru and Shizuku get their happily ever after?,15.339,Toho Pictures Inc.,2018-04-27,0.0,0.0,105.0,Released,,7.8,68.0,Masaki Suda-Tao Tsuchiya-Yuki Furukawa-Yuki Yamada-Elaiza Ikeda-Minami Hamabe-Gaku Sano-Mocomichi Hayami-Shirô Sano-Kazunori Mimura-Keisuke Nakata-Tetsuya Sugaya-Tomorowo Taguchi-Noriko Iriyama-Shirô Sano-Nari Saitou-Tsukino Yamamoto,both,0 days,Japan,0
My Life Without Me,2764328,5391959,-,2003-10-25,2003,mylifewithoutme,False,20.0,Drama-Romance,en,A fatally ill mother with only two months to live creates a list of things she wants to do before she dies without telling her family of her illness.,32.575,El Deseo-Milestone Productions,2003-03-07,2500000.0,12300000.0,106.0,Released,,5.852,392.0,Sarah Polley-Amanda Plummer-Scott Speedman-Mark Ruffalo-Leonor Watling-Debbie Harry-Maria de Medeiros-Julian Richings-Jessica Amlee-Kenya Jo Kennedy-Camille Martinez-Alfred Molina-Esther García,both,232 days,Foreign,0
My Hero Academia: World Heroes' Mission,29257746,29257746,-,2021-08-06,2021,myheroacademia:worldheroes'mission,False,768744.0,Animation-Action-Adventure-Science Fiction,ja,A mysterious group called Humarize strongly believes in the Quirk Singularity Doomsday theory which states that when quirks get mixed further in with future generations that power will bring forth the end of humanity. In order to save everyone the Pro-Heroes around the world ask UA Academy heroes-in-training to assist them and form a world-class selected hero team. It’s up to the heroes to save the world and the future of heroes in what is the most dangerous crisis to take place yet in My Hero Academia.,194.971,BONES-TOHO-Yomiuri Telecasting Corporation-Shueisha-Nippon Television Network Corporation-dentsu-Sony Music Entertainment (Japan)-movic,2021-08-06,0.0,38410729.0,105.0,Released,Their fight is our future.,7.6,377.0,Daiki Yamashita-Nobuhiko Okamoto-Yuki Kaji-Ryo Yoshizawa-Kazuya Nakai-Megumi Hayashibara-Kenta Miyake-Tetsu Inada-Yuichi Nakamura-Ayane Sakura-Marina Inoue-Ryo Hirohashi-Aoi Yuki-Kei Shindo-Toshiki Masuda-Tasuku Hatanaka-Masakazu Nishida-Kiyotaka Furushima-Yoshimasa Hosoya-Koji Okino-Yuto Uemura-Kiyono Yasuno-Hiroyuki Yoshino-Yoko Honna-Kaori Nazuka-Kaori Yagi-Masamichi Kitada-Kazuyuki Okitsu-Kenta Ohkuma-Shuhei Matsuda-Misato Kawauchi-Takumu Miyazono-Kiyomitsu Mizuuchi-Hirofumi Nojima-Mariya Ise-Junya Enoki-Yuichiro Umehara-Shogo Sakata-Hina Natsume-Naomi Ozora-Yuki Hayashi-Arisa Sekine-Toshitsugu Takashina-Toshihiko Seki-Shigeru Chiba-Gido Tsujioka-Risa Ozaki-Ryo Ito-Akiyoshi Ohno-Takaaki Torashima-Yuuki Urushiyama-Kohsuke Tanabe-Yurika Kubo-Genta Nakamura-Miyari Nemoto,both,0 days,Japan,1
